batter,avg,slg,iso
444482,0.21428571428571427,0.25,0.035714285714285726
453568,0.26126126126126126,0.40540540540540543,0.14414414414414417
455117,0.08849557522123894,0.13274336283185842,0.04424778761061948
456781,0.27906976744186046,0.3875968992248062,0.10852713178294576
457705,0.24497991967871485,0.41365461847389556,0.1686746987951807
457759,0.24553571428571427,0.35714285714285715,0.11160714285714288
467793,0.25384615384615383,0.4461538461538462,0.19230769230769235
500743,0.29577464788732394,0.4295774647887324,0.13380281690140844
501303,0.19230769230769232,0.34615384615384615,0.15384615384615383
502054,0.2702702702702703,0.3837837837837838,0.11351351351351352
502110,0.2815533980582524,0.5,0.2184466019417476
502671,0.2271186440677966,0.36271186440677966,0.13559322033898305
514888,0.30407523510971785,0.46394984326018807,0.15987460815047022
516782,0.2813852813852814,0.41125541125541126,0.12987012987012986
518595,0.23870967741935484,0.45161290322580644,0.2129032258064516
518692,0.2986111111111111,0.5104166666666666,0.21180555555555552
518735,0.18691588785046728,0.2803738317757009,0.09345794392523363
518792,0.21649484536082475,0.4536082474226804,0.23711340206185566
518934,0.1951219512195122,0.21951219512195122,0.02439024390243902
519203,0.22448979591836735,0.3469387755102041,0.12244897959183673
519317,0.25206611570247933,0.5,0.24793388429752067
521692,0.2837370242214533,0.4740484429065744,0.19031141868512108
527038,0.20855614973262032,0.32620320855614976,0.11764705882352944
541645,0.2702702702702703,0.3783783783783784,0.10810810810810811
542194,0.17567567567567569,0.2972972972972973,0.12162162162162163
542303,0.3079584775086505,0.5778546712802768,0.26989619377162627
542364,0.07692307692307693,0.07692307692307693,0.0
542932,0.28,0.34,0.06
543063,0.16326530612244897,0.2857142857142857,0.12244897959183673
543228,0.1686746987951807,0.26506024096385544,0.09638554216867473
543257,0.21374045801526717,0.2824427480916031,0.06870229007633591
543305,0.1568627450980392,0.21568627450980393,0.05882352941176472
543309,0.21978021978021978,0.5714285714285714,0.3516483516483516
543510,0.1981981981981982,0.32432432432432434,0.12612612612612614
543518,0.0,0.0,0.0
543685,0.32786885245901637,0.3770491803278688,0.04918032786885246
543760,0.2345679012345679,0.3888888888888889,0.154320987654321
543807,0.2196969696969697,0.3409090909090909,0.12121212121212119
543877,0.1836734693877551,0.2585034013605442,0.07482993197278912
545121,0.2620689655172414,0.3448275862068966,0.08275862068965517
545341,0.2903225806451613,0.4435483870967742,0.15322580645161288
545361,0.2222222222222222,0.5454545454545454,0.3232323232323232
547180,0.3140794223826715,0.6028880866425993,0.2888086642599278
547989,0.13725490196078433,0.21568627450980393,0.0784313725490196
553869,0.3125,0.4427083333333333,0.13020833333333331
553882,0.16393442622950818,0.19672131147540983,0.03278688524590165
553993,0.18532818532818532,0.2972972972972973,0.111969111969112
570482,0.2388888888888889,0.3055555555555556,0.06666666666666668
571448,0.2737226277372263,0.3978102189781022,0.12408759124087593
571466,0.16666666666666666,0.20512820512820512,0.038461538461538464
571657,0.19658119658119658,0.27350427350427353,0.07692307692307696
571745,0.21212121212121213,0.329004329004329,0.1168831168831169
571771,0.21604938271604937,0.3271604938271605,0.11111111111111113
571912,0.1827956989247312,0.24731182795698925,0.06451612903225806
571970,0.19827586206896552,0.46551724137931033,0.2672413793103448
572138,0.2342857142857143,0.35428571428571426,0.11999999999999997
572191,0.176056338028169,0.22535211267605634,0.04929577464788734
572233,0.25333333333333335,0.45666666666666667,0.2033333333333333
572761,0.25301204819277107,0.3614457831325301,0.10843373493975905
573262,0.22994652406417113,0.41711229946524064,0.18716577540106952
575929,0.2773109243697479,0.5210084033613446,0.24369747899159666
578428,0.37777777777777777,0.5333333333333333,0.15555555555555556
592178,0.21333333333333335,0.32,0.10666666666666666
592192,0.22529644268774704,0.33201581027667987,0.10671936758893283
592200,0.23255813953488372,0.27906976744186046,0.046511627906976744
592206,0.23376623376623376,0.3961038961038961,0.16233766233766236
592273,0.16494845360824742,0.23711340206185566,0.07216494845360824
592325,0.0,0.0,0.0
592348,0.10714285714285714,0.10714285714285714,0.0
592450,0.33214285714285713,0.75,0.41785714285714287
592518,0.275,0.4,0.125
592626,0.26842105263157895,0.4842105263157895,0.21578947368421053
592663,0.26288659793814434,0.4072164948453608,0.14432989690721648
592669,0.22702702702702704,0.41621621621621624,0.1891891891891892
592696,0.18048780487804877,0.3170731707317073,0.13658536585365855
592885,0.3175355450236967,0.4834123222748815,0.16587677725118483
593160,0.1953125,0.296875,0.1015625
593428,0.20245398773006135,0.3128834355828221,0.11042944785276076
593871,0.2073170731707317,0.3170731707317073,0.10975609756097562
593934,0.22857142857142856,0.35714285714285715,0.1285714285714286
594807,0.16759776536312848,0.2905027932960894,0.12290502793296093
595281,0.19444444444444445,0.2916666666666667,0.09722222222222224
595777,0.3176895306859206,0.48736462093862815,0.16967509025270755
595879,0.1871345029239766,0.2573099415204678,0.07017543859649122
595909,0.25,0.32857142857142857,0.07857142857142857
595978,0.14285714285714285,0.23214285714285715,0.0892857142857143
596019,0.2554517133956386,0.4517133956386293,0.19626168224299068
596103,0.21518987341772153,0.26582278481012656,0.05063291139240503
596115,0.3076923076923077,0.5384615384615384,0.23076923076923073
596117,0.22093023255813954,0.26744186046511625,0.046511627906976716
596129,0.1875,0.3125,0.125
596142,0.22695035460992907,0.41843971631205673,0.19148936170212766
596146,0.255,0.42,0.16499999999999998
600869,0.25296442687747034,0.48616600790513836,0.23320158102766803
602104,0.22950819672131148,0.3770491803278688,0.14754098360655735
605113,0.25,0.3225806451612903,0.07258064516129031
605119,0.0,0.0,0.0
605131,0.2,0.22857142857142856,0.028571428571428553
